time,open,high,low,close,Volume,Volume MA
1225962000,94.31,95.43,92.07,92.41,18180453,NaN
1225990800,92.42,92.67,90.12,90.68,28846942,NaN
1226048400,91.55,93.26,90.5,92.55,20446112,NaN
1226077200,92.55,93.38,91.13,93.21,20817065,NaN
1226307600,95.89,95.98,92.56,92.72,12515440,NaN
1226336400,92.72,93.13,90.93,92.23,20218428,NaN
1226394000,90.95,91.11,88.85,89.3,18316871,NaN
1226422800,89.29,92.03,88.67,90.09,30661395,NaN
1226480400,89.25,89.44,86.81,87.39,20221787,NaN
1226509200,87.4,87.96,85.27,85.69,21752184,NaN
1226566800,85.61,87.07,84.98,85.31,20539695,NaN
1226595600,85.32,91.65,82.09,91.53,57360568,NaN
1226653200,89.81,91.07,87.84,88.01,21032069,NaN
1226682000,87.99,92.05,87.25,87.52,33786673,NaN
1226912400,85.68,87.62,85.16,87.4,17165656,NaN
1226941200,87.4,88.55,85.2,85.4,22124663,NaN
1226998800,84.11,87,83.99,86.89,19110712,NaN
1227027600,86.87,86.89,82.91,86.2,34862932,NaN
1227085200,85.42,86.86,83.26,83.84,19438350,NaN
1227114000,83.83,84.3,80.93,81.14,34173865,24578593
1227171600,81.02,81.28,77.92,79.6,33792096,25359175.15
1227200400,79.59,82.51,75.09,75.75,52786792,26556167.65
1227258000,77.05,77.75,74.35,75.71,28027749,26935249.5
1227286800,75.72,80.52,74.58,80.34,42465917,28017692.1
1227517200,81.71,84.63,81.17,84.28,19033756,28343607.9
1227546000,84.26,86.98,82.94,84.94,30548399,28860106.45
1227603600,85.16,87.79,84.44,85.84,23407232,29114624.5
1227632400,85.87,86.85,83.83,86.07,27142727,28938691.1
1227690000,84.09,87.22,83.48,86.73,14680936,28661648.55
1227718800,86.72,89.14,86.39,89.04,19830119,28565545.3
1227862800,88.57,89.56,88.37,89.52,5293416,27803231.35
1227891600,89.52,90.03,89.14,89.83,2975272,25083966.55
1228122000,87.71,87.86,84.94,85.29,15388235,24801774.85
1228150800,85.28,85.46,81.97,82.11,24607443,24342813.35
1228208400,83.6,84.83,82.24,84.63,17132772,24341169.15
1228237200,84.63,85.49,82.3,85.4,27072302,24588551.1
1228294800,84.09,86.95,83.11,86.86,19093349,24587682.95
1228323600,86.86,87.82,83.9,87.51,28421327,24265602.7
1228381200,86.94,88.05,85.63,87.21,17724621,24179916.25
1228410000,87.2,87.52,83.74,84.9,26495599,23796002.95
1228467600,84.41,84.66,82.25,83.54,19204836,23066639.95
1228496400,83.54,88.41,83.06,88.05,32442720,22049436.35
1228726800,90.35,91.63,90.03,90.46,21078578,21701977.8
1228755600,90.47,92.38,89.8,91.24,28735102,21015437.05
1228813200,91.23,92.13,89.89,91.12,15559074,20841702.95
1228842000,91.11,91.55,88.99,89.39,25783244,20603445.2
1228899600,90.29,91.14,89.75,90.88,13336466,20099906.9
1228928400,90.89,91.36,89,90.35,23120556,19898798.35
1228986000,90.01,90.9,89.05,90.68,13030608,19816281.95
1229014800,90.68,91,87.37,87.95,24695549,20059553.45
1229072400,84.56,87.78,84.42,86.79,20771789,20833472.1
1229101200,86.8,88.9,86.67,88.46,21344930,21751955
1229331600,88.71,89.25,86.97,87.57,10794613,21522273.9
1229360400,87.56,88,86.29,87.5,15826518,21083227.65
1229418000,88.37,89.14,88.15,89.04,12960904,20874634.25
1229446800,89.03,92.01,88.65,91.85,30025744,21022306.35
1229504400,90.58,91.32,90.07,91.05,13835335,20759405.65
1229533200,91.08,92.43,90.83,91,16717002,20174189.4
1229590800,91.39,91.8,90.51,91.35,12176142,19896765.45
1229619600,91.35,91.42,88.22,89.14,21595182,19651744.6
1229677200,88.7,90.38,88.7,88.82,13082604,19345633
1229706000,88.84,89.48,88.09,88.39,17637353,18605364.65
1229936400,88.7,88.96,86.91,87.33,8179545,17960413
1229965200,87.32,87.57,85.5,86.95,15263345,17286825.15
1230022800,87.38,87.92,86.54,86.55,10308476,17024295.25
1230051600,86.56,86.95,85.8,86.17,12865710,16378418.55
1230109200,86.05,86.77,85.92,86.65,5422536,15982722.05
1230138000,86.66,86.87,86.5,86.65,1703458,14911867.15
1230282000,87.21,87.32,86.69,86.82,3222379,14421455.7
1230310800,86.82,87.27,86.51,87.13,5440292,13458692.85
1230541200,87.31,87.31,85.98,86.24,6032903,12721748.55
1230570000,86.24,86.92,85.61,86.9,10121202,12160562.15
1230627600,87.71,88.46,87.09,88.35,9594612,12100562.1
1230656400,88.36,89.04,87.72,88.9,13017266,11960099.5
1230714000,89.17,90.14,88.88,89.98,8235428,11723825.7
1230742800,89.97,90.97,89.73,90.24,14077559,10926416.45
1230886800,90.67,91.85,89.85,91.62,11534853,10811392.35
1230915600,91.63,93.44,91.56,92.97,17796519,10865368.2
1231146000,92.4,93.35,91.9,92.67,11884985,10850810.35
1231174800,92.66,93.65,92.1,92.8,18079261,10675014.3
1231232400,93.78,94.45,92.68,93.15,14617536,10751760.9
1231261200,93.16,94.21,92.88,93.44,20586738,10899230.15
1231318800,92.53,92.72,91.25,92.01,12549554,11117730.6
1231347600,92.01,92.01,90.2,90.69,15978748,11153500.75
1231405200,89.85,90.8,89.55,90,11658318,11220992.85
1231434000,90,91.09,89.75,91.08,13204569,11237935.8
1231491600,90.81,91.82,89.04,89.57,14790706,11706344.3
1231520400,89.58,90.16,88.82,89.01,15406677,12391505.25
1231750800,88.65,88.91,87.44,87.46,9508914,12705832
1231779600,87.45,87.8,86.42,87,15357315,13201683.15
1231837200,86.57,87.76,86.42,87.61,16529549,13726515.45
1231866000,87.62,87.69,86.21,87.09,24410739,14440992.3
1231923600,86.38,86.39,83.69,84.4,19756397,14949081.55
1231952400,84.4,85.04,83.72,84.36,26818316,15639134.05
1232010000,83.61,84.48,82.03,82.49,19072085,16180966.9
1232038800,82.49,85.25,81.73,84.49,32895537,17121865.8
1232096400,85.84,85.96,83.85,84.04,16705510,17380398.65
1232125200,84.04,85.49,83.05,84.96,21366240,17558884.7
1232442000,84.2,84.46,82.44,82.74,14032157,17666243.3
1232470800,82.75,83.24,80.47,80.62,26189912,18071775.85
1232528400,81.31,82.45,80.47,81.29,19597930,18320795.55
1232557200,81.31,84.24,81.16,84.04,23499259,18466421.6
1232614800,83.65,83.73,81.215,81.3,16024883,18640188.05
1232643600,81.3,84.04,81.18,82.8,28028942,19242697.75
1232701200,81.13,82.91,80.41,81.99,18314531,19575508.4
1232730000,81.98,83.99,81.92,83.11,24818438,20156201.85
1232960400,82.85,85.35,82.77,84.53,15831974,20208265.25
1232989200,84.52,84.86,82.81,83.71,25091656,20692514.2
1233046800,84.19,84.84,83.56,84.38,14032630,20918700
1233075600,84.38,85.14,84.02,84.56,16420415,20971855
1233133200,86.33,86.97,86.07,86.62,12464607,20768607.9
1233162000,86.62,87.95,86.55,87.42,21324435,20614292.7
1233219600,86.64,86.7,85.48,85.68,12860279,20269486.8
1233248400,85.69,85.73,84.47,84.57,17620739,19809607.95
1233306000,83.94,85.25,82.96,83.4,17639119,19737959.65
1233334800,83.41,84.21,82.22,82.7,24404625,19313414.05
1233565200,81.44,82.59,81.15,82.31,14382709,19197274
1233594000,82.33,83.18,81.71,82.59,20066291,19132276.55
1233651600,82.68,83.4,82.23,82.86,12394646,19050401
1233680400,82.86,84.36,82.59,83.8,20507661,18766288.45
1233738000,83.83,85.37,83.73,84.7,14894917,18531137.8
1233766800,84.71,84.89,83.04,83.31,23174851,18514917.4
1233824400,82.88,84.4,82.13,84.38,15378040,18482575.25
1233853200,84.39,85.285,84.11,84.65,23224181,18242337.2
1233910800,84.62,86.65,84.12,86.52,15072413,18080231.3
1233939600,86.52,87.33,86.16,86.96,21798164,17929217.6
1234170000,86.27,87.74,86.27,87.11,11224376,17698837.7
1234198800,87.12,87.56,86.49,87.15,14291119,17158810.85
1234256400,86.7,87.03,83.66,84.16,26939268,17804142.75
1234285200,84.16,84.48,82.45,82.96,27217676,18344005.8
1234342800,82.89,84.05,82.87,83.56,17446239,18593087.4
1234371600,83.56,83.99,82.415,83.66,22960954,18674913.35
1234429200,82.66,83.05,81.31,82.32,22018859,19132842.35
1234458000,82.32,83.82,81.05,83.69,31696818,19836646.3
1234515600,84.07,84.22,83.07,83.08,14512818,19680331.25
1234544400,83.08,84.01,82.75,82.78,20049224,19462561.2
1234861200,81.04,81.13,79.18,79.54,19032647,19695058.1
1234890000,79.54,80.44,79.17,79.22,24030960,19893291.55
1234947600,79.41,80.09,78.28,79.5,17027326,20124925.55
1234976400,79.5,79.94,78.55,79.08,19569771,20078031.05
1235034000,79.62,80.15,78.8,78.86,15121929,20089381.65
1235062800,78.85,79.45,78.02,78.28,20925931,19976935.65
1235120400,77.09,77.87,76.49,76.77,17240759,20070071.6
1235149200,76.77,78.33,75.77,77.39,29342701,20375997.6
1235379600,78.05,78.56,76.06,76.21,16602283,20452491.1
1235408400,76.21,76.23,74.59,74.78,25752066,20650186.2
1235466000,75.64,76.24,74.84,75.38,18659699,21021952.35
1235494800,75.38,77.95,75.09,77.57,30063665,21810579.65
1235552400,77.18,77.42,75.63,76.33,22009898,21564111.15
1235581200,76.33,78.41,75.76,76.88,32068345,21806644.6
1235638800,78.09,78.37,77.25,77.54,15292294,21698947.35
1235667600,77.54,77.71,75.54,75.67,23489223,21725360.8
1235725200,74.78,75.29,73.53,75.12,18923806,21570608.15
1235754000,75.13,75.57,73.86,73.97,23274387,21149486.6
1235984400,72.34,72.92,71.06,71.25,18127649,21330228.15
1236013200,71.25,71.74,70.38,70.57,25987574,21627145.65
1236070800,71.23,71.92,69.65,69.75,19010236,21626025.1
1236099600,69.76,71.44,69.74,70.04,27352876,21792120.9
1236157200,70.45,71.95,70.28,71.81,23539959,22117752.55
1236186000,71.81,72.87,70.94,71.73,28206415,22549584.75
1236243600,70.11,70.86,69.02,69.2,21657280,22876352.3
1236272400,69.19,69.77,68.18,68.77,31437736,23401942.55
1236330000,68.77,70.45,67.92,68.32,22041196,23641964.4
1236358800,68.33,69,67.11,68.85,25047298,23427194.25
1236585600,68.35,70,67.9,68.93,16132633,23403711.75
1236614400,68.93,69.45,67.74,68.07,19484358,23090326.35
1236672000,69.39,71.8,69.2,71.79,19560333,23135358.05
1236700800,71.79,72.36,71.24,72.21,23888914,22826620.5
1236758400,72.83,73.74,72.31,72.95,17681532,22610202.2
