time,open,high,low,close,Volume,Volume MA
2008-11-06T04:00:00-05:00,94.31,95.43,90.12,90.66,47018995,NaN
2008-11-06T16:00:00-05:00,90.66,90.68,90.66,90.68,8400,NaN
2008-11-07T04:00:00-05:00,91.55,93.38,90.5,93.21,41263177,NaN
2008-11-10T04:00:00-05:00,95.89,95.98,90.93,92.22,32724768,NaN
2008-11-10T16:00:00-05:00,92.22,92.23,92.21,92.23,9100,NaN
2008-11-11T04:00:00-05:00,90.95,92.03,88.67,90.11,48975876,NaN
2008-11-11T16:00:00-05:00,90.09,90.09,90.09,90.09,2390,NaN
2008-11-12T04:00:00-05:00,89.25,89.44,85.27,85.69,41973671,NaN
2008-11-12T16:00:00-05:00,85.69,85.69,85.69,85.69,300,NaN
2008-11-13T04:00:00-05:00,85.61,91.65,82.09,91.53,77900263,NaN
2008-11-14T04:00:00-05:00,89.81,92.05,87.25,87.55,54817940,NaN
2008-11-14T16:00:00-05:00,87.52,87.52,87.52,87.52,802,NaN
2008-11-17T04:00:00-05:00,85.68,88.55,85.16,85.4,39290319,NaN
2008-11-18T04:00:00-05:00,84.11,87,82.91,86.2,53973644,NaN
2008-11-19T04:00:00-05:00,85.42,86.86,80.93,81.13,53611715,NaN
2008-11-19T16:00:00-05:00,81.14,81.14,81.14,81.14,500,NaN
2008-11-20T04:00:00-05:00,81.02,82.51,75.09,75.77,86546847,NaN
2008-11-20T16:00:00-05:00,75.77,75.77,75.75,75.75,32041,NaN
2008-11-21T04:00:00-05:00,77.05,80.52,74.35,80.34,70493666,NaN
2008-11-24T04:00:00-05:00,81.71,86.98,81.17,84.94,49577455,34911093.45
2008-11-24T16:00:00-05:00,84.94,84.94,84.94,84.94,4700,32560378.7
2008-11-25T04:00:00-05:00,85.16,87.79,83.83,86.03,50549159,35087416.65
2008-11-25T16:00:00-05:00,86.05,86.07,86.05,86.07,800,33024297.8
2008-11-26T04:00:00-05:00,84.09,89.14,83.48,89.04,34511055,33113612.15
2008-11-28T04:00:00-05:00,88.57,90.03,88.37,89.83,8268688,33526591.55
2008-12-01T04:00:00-05:00,87.71,87.86,81.97,82.11,39995678,33077581.65
2008-12-02T04:00:00-05:00,83.6,85.49,82.24,85.4,44205074,35287715.85
2008-12-03T04:00:00-05:00,84.09,87.82,83.11,87.51,47513276,35564696.1
2008-12-03T16:00:00-05:00,87.51,87.51,87.51,87.51,1400,35564751.1
2008-12-04T04:00:00-05:00,86.94,88.05,83.74,84.9,44220220,33880748.95
