time,open,high,low,close,Volume,Volume MA
2008-11-06T04:00:00-05:00,94.31,95.43,90.12,90.68,47027395,NaN
2008-11-07T04:00:00-05:00,91.55,93.38,90.5,93.21,41263177,NaN
2008-11-10T04:00:00-05:00,95.89,95.98,90.93,92.23,32733868,NaN
2008-11-11T04:00:00-05:00,90.95,92.03,88.67,90.09,48978266,NaN
2008-11-12T04:00:00-05:00,89.25,89.44,85.27,85.69,41973971,NaN
2008-11-13T04:00:00-05:00,85.61,91.65,82.09,91.53,77900263,NaN
2008-11-14T04:00:00-05:00,89.81,92.05,87.25,87.52,54818742,NaN
2008-11-17T04:00:00-05:00,85.68,88.55,85.16,85.4,39290319,NaN
2008-11-18T04:00:00-05:00,84.11,87,82.91,86.2,53973644,NaN
2008-11-19T04:00:00-05:00,85.42,86.86,80.93,81.14,53612215,NaN
2008-11-20T04:00:00-05:00,81.02,82.51,75.09,75.75,86578888,NaN
2008-11-21T04:00:00-05:00,77.05,80.52,74.35,80.34,70493666,NaN
2008-11-24T04:00:00-05:00,81.71,86.98,81.17,84.94,49582155,NaN
2008-11-25T04:00:00-05:00,85.16,87.79,83.83,86.07,50549959,NaN
2008-11-26T04:00:00-05:00,84.09,89.14,83.48,89.04,34511055,NaN
2008-11-28T04:00:00-05:00,88.57,90.03,88.37,89.83,8268688,NaN
2008-12-01T04:00:00-05:00,87.71,87.86,81.97,82.11,39995678,NaN
2008-12-02T04:00:00-05:00,83.6,85.49,82.24,85.4,44205074,NaN
2008-12-03T04:00:00-05:00,84.09,87.82,83.11,87.51,47514676,NaN
2008-12-04T04:00:00-05:00,86.94,88.05,83.74,84.9,44220220,48374595.95
2008-12-05T04:00:00-05:00,84.41,88.41,82.25,88.05,51647556,48605604
2008-12-08T04:00:00-05:00,90.35,92.38,89.8,91.24,49813680,49033129.15
2008-12-09T04:00:00-05:00,91.23,92.13,88.99,89.39,41342318,49463551.65
2008-12-10T04:00:00-05:00,90.29,91.36,89,90.35,36457022,48837489.45
2008-12-11T04:00:00-05:00,90.01,91,87.37,87.95,37726157,48625098.75
2008-12-12T04:00:00-05:00,84.56,88.9,84.42,88.46,42116719,46835921.55
2008-12-15T04:00:00-05:00,88.71,89.25,86.29,87.5,26621131,45426041
2008-12-16T04:00:00-05:00,88.37,92.01,88.15,91.85,42986648,45610857.45
2008-12-17T04:00:00-05:00,90.58,92.43,90.07,91,30552337,44439792.1
