time,open,high,low,close,"BTCUSD, BITSTAMP: Open","BTCUSD, BITSTAMP: High","BTCUSD, BITSTAMP: Low","BTCUSD, BITSTAMP: Close",Basis,Upper,Lower,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,EMA,EMA,EMA2,EMA3,Histogram,MACD,Signal,MF,K,D,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Detrended Price Oscillator
893973600,1119.25,1130.25,1117.75,1129.5,NaN,NaN,NaN,NaN,1119.9375,1146.1285647931659,1093.7464352068341,14285,14079.1,14285,14079.1,14285,14079.1,14285,14079.1,14285,14079.1,1115.0375622250817,1115.7166113287724,1114.0160178305596,1087.45720623053,-3.0399259979298394,4.349311851742186,7.389237849672026,58.97763814261585,44.914601192514816,23.742365999494837,58.4056247846464,56.74405853788774,NaN,NaN,13.71428571428578
894232800,1129.5,1137,1126,1128,NaN,NaN,NaN,NaN,1119.6,1145.185835925403,1094.014164074597,16189,14256.1,16189,14256.1,16189,14256.1,16189,14256.1,16189,14256.1,1117.9181039528414,1117.4713811389477,1115.2872889368723,1088.905163150868,-1.9018660088894972,5.011905338560155,6.913771347449652,59.656805848179175,62.52464988096799,43.175596248918964,57.63436214263454,56.201269252784435,NaN,NaN,10.654761904761926
894319200,1127.75,1128.25,1114.75,1120,NaN,NaN,NaN,NaN,1119.25,1144.611880845072,1093.888119154928,16308,14295.2,16308,14295.2,16308,14295.2,16308,14295.2,16308,14295.2,1118.3807475188767,1117.8326124048124,1115.7157172153384,1090.015693038337,-1.662425940967613,4.835738921240136,6.498164862207749,51.89894959694967,61.87867203239474,56.43930770195919,53.571215181142954,55.27252697166757,NaN,NaN,1.3571428571428896
894405600,1120,1124.5,1106.25,1106.75,NaN,NaN,NaN,NaN,1118.6375,1144.5790087263645,1092.6959912736356,15160,14331.3,15160,14331.3,15160,14331.3,15160,14331.3,15160,14331.3,1115.7961369591262,1116.2493820612679,1114.900652013944,1090.6133468583964,-2.33002900450745,3.5856286065734366,5.915657611080887,51.751767527376465,48.28956822257359,57.56429671197878,47.587333659027166,54.5823483236146,NaN,NaN,-13.047619047619037
894492000,1098.75,1111,1097.25,1098.25,NaN,NaN,NaN,NaN,1117.9625,1145.2531920945478,1090.6718079054524,14932,14580.45,14932,14580.45,14932,14580.45,14932,14580.45,14932,14580.45,1111.8969954126537,1113.678041766801,1113.3869563763126,1090.8860844705966,-3.22270776419757,1.8872729058339246,5.1099806700314945,45.42346050179758,31.146902032308375,47.105047429092245,44.178176625126845,53.18848058264074,NaN,NaN,-22.89285714285711
894578400,1098.75,1116.75,1096,1115.5,NaN,NaN,NaN,NaN,1117.7625,1145.0638163601955,1090.4611836398046,14761,14694.75,14761,14694.75,14761,14694.75,14761,14694.75,14761,14694.75,1112.6976630987306,1113.938321514401,1113.5790512511933,1091.765152882361,-2.559013867943194,1.9112133351025022,4.470227203045696,45.31931357345144,28.69864535377609,36.04503853621935,51.735053116445265,52.407045150457854,NaN,NaN,-6.095238095238074
894837600,1115.5,1124.75,1107.25,1112.25,NaN,NaN,NaN,NaN,1117.5125,1144.9193764181518,1090.1056235818482,16837,14957,16837,14957,16837,14957,16837,14957,16837,14957,1112.5981824101239,1113.6971327266294,1113.4582284101757,1092.4967545651339,-2.2570372716573397,1.6489306134740218,3.9059678851313615,46.85693584201089,32.38494844092196,30.743498609002142,50.35201513501234,51.3419079353385,NaN,NaN,-9.297619047619037
894924000,1111.5,1123,1106.5,1122,NaN,NaN,NaN,NaN,1117.3625,1144.6363313223574,1090.0886686776425,14355,15031.4,14355,15031.4,14355,15031.4,14355,15031.4,14355,15031.4,1114.687475207874,1114.8832566228252,1114.2347531001597,1093.5504419020933,-1.3628343094095277,2.2024249983694517,3.5652593077789794,46.518573530581044,53.17559239554893,38.08639539674899,54.299128732912706,50.53051968413836,NaN,NaN,1.273809523809632
895010400,1122,1128,1118.5,1124,NaN,NaN,NaN,NaN,1117.15,1144.1460182249016,1090.1539817750986,16456,15061.35,16456,15061.35,16456,15061.35,16456,15061.35,16456,15061.35,1116.7569251616799,1116.18564853385,1115.122502818327,1094.6379261198756,-0.6357916507121266,2.770519744388821,3.4063113951009476,53.94645340557782,65.50893628108327,50.356492372518055,55.0879006128311,50.286716511601334,NaN,NaN,4.059523809523853
895096800,1124,1129.25,1116,1119.5,NaN,NaN,NaN,NaN,1117.35,1144.353425708629,1090.3465742913709,12291,14951.8,12291,14951.8,12291,14951.8,12291,14951.8,12291,14951.8,1117.3664973479733,1116.6591273147287,1115.5204571075699,1095.52585732988,-0.46500032643225886,2.825060987060624,3.290061313492883,56.037025906964864,75.53280868737558,64.73911245466927,52.87655172847117,50.46572448513211,NaN,NaN,-0.011904761904816041
895183200,1119.5,1123.5,1110,1112.5,NaN,NaN,NaN,NaN,1116.45,1142.8330437970958,1090.0669562029043,13501,15028.15,13501,15028.15,13501,15028.15,13501,15028.15,13501,15028.15,1116.2850534928682,1116.0649662697674,1115.2458700977909,1096.1320767109557,-0.8102940553647597,2.277193744286933,3.0874877996516927,57.07989904392386,66.7400095866588,69.26058485170587,49.544823704675686,51.030059399042266,NaN,NaN,-7.428571428571331
895442400,1110.5,1117.25,1100.5,1108.25,NaN,NaN,NaN,NaN,1115.4125,1141.3683639810174,1089.4566360189824,15008,15033.25,15008,15033.25,15008,15033.25,15008,15033.25,15008,15033.25,1114.4994860500085,1114.9485425169435,1114.6098819070826,1096.5648596855644,-1.2836136300237362,1.4829707621220223,2.7665843921457585,57.439535083929584,48.02994287964446,63.43425371789294,47.58441455789021,51.524733385214354,NaN,NaN,-12.21428571428578
895528800,1109.5,1118.75,1107.5,1115.5,NaN,NaN,NaN,NaN,1114.4125,1138.681963838348,1090.1430361616517,15040,15259.05,15040,15259.05,15040,15259.05,15040,15259.05,15040,15259.05,1114.72182248334,1115.02732215738,1114.6908017337114,1097.2411146967943,-1.0755363812700005,1.422163915558258,2.4977002968282584,57.570449266597834,41.384090480599276,52.051347648967514,51.13637312931897,52.038501028383386,NaN,NaN,-4.821428571428669
895615200,1114.75,1124.75,1110.5,1124,NaN,NaN,NaN,NaN,1113.7875,1136.3320531115808,1091.242946888419,14163,15193.95,14163,15193.95,14163,15193.95,14163,15193.95,14163,15193.95,1116.7836397092644,1116.3091332777542,1115.5370924851923,1098.1967891719087,-0.36905711291855336,2.036378905680067,2.4054360185986203,58.46574807819791,50.01930141441247,46.477778258218734,54.98764999190068,52.07004450728827,NaN,NaN,4.380952380952294
895701600,1125,1128.75,1114.5,1118.25,NaN,NaN,NaN,NaN,1113.375,1135.266493781828,1091.483506218172,8076,14821.35,8076,14821.35,8076,14821.35,8076,14821.35,8076,14821.35,1117.10949755165,1116.5863999523608,1115.783720441084,1098.912975272912,-0.29578447857248813,2.0357054203830103,2.3314898989554984,57.177246847885556,61.00811962288528,50.803837172632335,52.00178026463131,51.612627041572914,NaN,NaN,-0.4047619047619264
