time,open,high,low,close,Volume,Volume MA
1072994400,1.7838,1.7907,1.7789,1.7904,0,NaN
1073052000,1.7904,1.7948,1.7856,1.793,0,NaN
1073253600,1.7932,1.8058,1.7929,1.8052,0,NaN
1073311200,1.8052,1.8102,1.8033,1.8065,0,NaN
1073340000,1.8065,1.8278,1.8049,1.8221,0,NaN
1073397600,1.8221,1.8259,1.8199,1.8205,0,NaN
1073426400,1.8205,1.8258,1.812,1.8193,0,NaN
1073484000,1.8193,1.8217,1.8163,1.817,0,NaN
1073512800,1.817,1.8319,1.8105,1.829,0,NaN
1073570400,1.829,1.8359,1.828,1.8347,0,NaN
1073599200,1.8347,1.8438,1.8277,1.8427,0,NaN
1073656800,1.8427,1.8488,1.8414,1.8485,0,NaN
1073858400,1.847,1.8578,1.8453,1.8486,0,NaN
1073916000,1.8486,1.8546,1.8449,1.8459,0,NaN
1073944800,1.8459,1.8536,1.8418,1.8488,0,NaN
1074002400,1.8488,1.8503,1.8401,1.8474,0,NaN
1074031200,1.8474,1.8487,1.8325,1.8369,0,NaN
1074088800,1.8369,1.8418,1.831,1.8316,0,NaN
1074117600,1.8316,1.8346,1.8213,1.8227,0,NaN
1074175200,1.8227,1.8252,1.8179,1.8244,0,0
1074204000,1.8244,1.8266,1.8045,1.8056,0,0
1074261600,1.8056,1.8066,1.793,1.7961,0,0
1074463200,1.798,1.8019,1.7846,1.7862,0,0
1074520800,1.7862,1.7868,1.7823,1.784,0,0
1074549600,1.784,1.8141,1.7823,1.8121,0,0
1074607200,1.8121,1.8218,1.8115,1.8211,0,0
1074636000,1.8211,1.8371,1.8147,1.8282,0,0
1074693600,1.8282,1.833,1.8269,1.8315,0,0
1074722400,1.8315,1.8479,1.831,1.8407,0,0
1074780000,1.8407,1.8468,1.8405,1.8456,0,0
1074808800,1.8456,1.8523,1.8348,1.8359,0,0
1074866400,1.8359,1.8363,1.817,1.8265,0,0
1075068000,1.8255,1.8307,1.8178,1.8266,0,0
1075125600,1.8266,1.8271,1.8106,1.8139,0,0
1075154400,1.8139,1.8168,1.8018,1.8147,0,0
1075212000,1.8147,1.8291,1.8147,1.8276,0,0
1075240800,1.8276,1.8367,1.8226,1.8319,0,0
